0,1,2
57.0,117.0,-50.235878
57.0,135.0,-53.130898
59.0,153.0,-55.435246
62.0,168.0,-55.950016
65.0,186.0,-51.014343
72.0,201.0,-38.639107
80.0,216.0,-22.496096
90.0,232.0,-6.759414
113.0,242.0,0.5097141
136.0,237.0,-6.918275
151.0,227.0,-21.800028
164.0,214.0,-37.71132
174.0,199.0,-49.780823
181.0,181.0,-53.768497
186.0,166.0,-52.506588
194.0,150.0,-49.518402
197.0,133.0,-45.81122
70.0,107.0,18.276016
80.0,102.0,30.488016
90.0,105.0,38.024723
100.0,107.0,42.126263
108.0,110.0,43.362507
143.0,112.0,44.947853
153.0,112.0,44.23406
164.0,112.0,40.84409
174.0,115.0,34.315613
181.0,120.0,22.363487
123.0,133.0,40.32772
120.0,148.0,44.870102
118.0,161.0,51.14548
118.0,171.0,50.232048
105.0,171.0,29.215734
110.0,173.0,32.10882
118.0,176.0,33.641636
125.0,176.0,32.249653
133.0,173.0,29.582771
82.0,125.0,22.51176
90.0,125.0,30.47723
98.0,125.0,31.326712
105.0,130.0,27.811964
98.0,130.0,29.665186
90.0,130.0,27.577593
143.0,133.0,29.779419
151.0,130.0,33.75637
158.0,133.0,33.599545
166.0,133.0,25.789433
158.0,138.0,30.390106
148.0,135.0,32.02713
87.0,189.0,9.099363
98.0,186.0,22.547329
110.0,186.0,30.868988
118.0,186.0,31.679888
123.0,186.0,31.246168
138.0,191.0,23.160076
148.0,194.0,9.052803
136.0,204.0,16.359827
125.0,209.0,20.532248
115.0,209.0,21.338554
105.0,206.0,20.104965
95.0,201.0,15.695203
90.0,189.0,8.987557
108.0,191.0,25.465185
118.0,191.0,27.5805
125.0,191.0,25.760994
146.0,194.0,8.930717
125.0,201.0,21.088577
115.0,201.0,22.051443
108.0,199.0,20.61333
