0,1,2
50.0,86.0,-51.364876
55.0,107.0,-55.308117
58.0,125.0,-58.4706
63.0,143.0,-58.697624
71.0,161.0,-52.297092
81.0,179.0,-38.429638
94.0,189.0,-20.679811
109.0,196.0,-4.2143936
132.0,204.0,2.245582
153.0,196.0,-6.256308
168.0,186.0,-23.428457
181.0,176.0,-42.001343
191.0,161.0,-56.07357
196.0,140.0,-61.902557
199.0,125.0,-61.158546
204.0,104.0,-57.845787
204.0,84.0,-53.45767
68.0,79.0,18.639149
78.0,74.0,30.647587
89.0,74.0,37.821674
99.0,74.0,41.556255
109.0,76.0,42.509224
148.0,74.0,42.629936
158.0,71.0,41.466385
168.0,71.0,37.525356
178.0,71.0,30.30004
189.0,76.0,17.834785
130.0,99.0,37.235744
130.0,115.0,41.423733
130.0,127.0,48.14761
130.0,138.0,47.547207
117.0,145.0,29.620995
122.0,145.0,32.21335
130.0,148.0,33.413906
137.0,145.0,31.552473
142.0,143.0,28.546589
84.0,97.0,22.421797
91.0,97.0,30.25335
99.0,97.0,30.673296
109.0,99.0,26.72604
101.0,102.0,28.850895
91.0,102.0,27.195704
150.0,97.0,27.206831
158.0,94.0,30.877964
165.0,94.0,30.368505
173.0,94.0,22.04162
165.0,99.0,26.946985
158.0,99.0,28.927353
109.0,171.0,21.184576
117.0,166.0,30.351936
125.0,161.0,35.13765
132.0,161.0,35.48639
137.0,161.0,34.556026
145.0,163.0,27.889717
153.0,168.0,17.148516
145.0,173.0,24.849558
140.0,179.0,28.105658
132.0,179.0,29.173561
125.0,179.0,29.127863
117.0,176.0,27.044792
112.0,168.0,21.699738
125.0,168.0,30.367104
132.0,168.0,31.340979
137.0,168.0,29.301056
150.0,168.0,17.672049
137.0,168.0,28.519318
132.0,168.0,29.39713
125.0,168.0,29.484016
